mm,RUL
-1.031899886,10000
0.651533462,9999
-0.581850116,9998
-0.538830064,9997
0.971044773,9996
-0.517187363,9995
-0.805697547,9994
0.71396579,9993
-0.800915217,9992
-0.766571577,9991
1.061534379,9990
-0.037235232,9989
0.221331979,9988
1.955884011,9987
0.507652899,9986
0.218111964,9985
1.340425132,9984
-0.742389435,9983
-1.481643981,9982
-0.425207408,9981
-1.998818653,9980
-1.937756906,9979
0.094555729,9978
-0.670778087,9977
0.140624919,9976
2.360794321,9975
1.363186565,9974
1.388578925,9973
2.512948464,9972
0.330272462,9971
-0.591693991,9970
-0.019285386,9969
-2.193532319,9968
-2.490850212,9967
-0.893344835,9966
-1.807570068,9965
-0.948927253,9964
1.385653957,9963
0.70970388,9962
1.185720135,9961
2.77515812,9960
0.964033077,9959
0.39960218,9958
1.21456208,9957
-1.077865733,9956
-1.541375495,9955
-0.308168804,9954
-1.729023781,9953
-1.340166382,9952
0.599358797,9951
-0.515418228,9950
-0.04466376,9949
1.684860246,9948
0.084608832,9947
0.111944371,9946
1.284727289,9945
-0.435098316,9944
-0.523929398,9943
0.97465468,9942
-0.583283029,9941
-0.28402286,9940
1.238810275,9939
-0.347923761,9938
-0.335701009,9937
0.764842836,9936
-1.016987858,9935
-1.218011718,9934
0.143005722,9933
-1.328153262,9932
-0.908185972,9931
1.020764946,9930
0.054241204,9929
0.681556523,9928
2.46161263,9927
0.832670849,9926
0.730304677,9925
1.422152374,9924
-0.961680164,9923
-1.44043321,9922
-0.685409932,9921
-2.455845938,9920
-2.012780381,9919
-0.094937713,9918
-0.921677112,9917
0.261713101,9916
2.449433363,9915
1.246946497,9914
1.624484735,9913
2.604330956,9912
0.246721117,9911
-0.335744512,9910
0.060806336,9909
-2.157446881,9908
-2.184215998,9907
-0.697841687,9906
-1.837025966,9905
-0.837228489,9904
1.30187438,9903
0.256926979,9902
0.963215766,9901
2.448073203,9900
0.578582626,9899
0.439400383,9898
1.190066202,9897
-1.039494517,9896
-0.991846511,9895
0.13694584,9894
-1.405057069,9893
-0.835373287,9892
0.774236191,9891
-0.684464597,9890
-0.193016209,9889
1.169375079,9888
-0.588845153,9887
-0.347334048,9886
0.902748224,9885
-0.750656135,9884
-0.223347341,9883
1.28324591,9882
-0.21478948,9881
0.413892527,9880
1.645477357,9879
-0.149955854,9878
-0.091063639,9877
0.625498461,9876
-1.535517765,9875
-1.475263173,9874
-0.401520659,9873
-1.907884287,9872
-0.912899918,9871
0.89653059,9870
-0.015186557,9869
1.158145195,9868
2.701965098,9867
1.078420384,9866
1.142501634,9865
1.590355891,9864
-1.033434667,9863
-1.354042732,9862
-0.785408631,9861
