Column,Attribute
y,wconfid
problem,regression
x_mean,I_ordinal
y_mean,I_ordinal
z_mean,I_ordinal
x_max,I_ordinal
y_max,I_ordinal
z_max,I_ordinal
x_min,I_ordinal
y_min,I_ordinal
z_min,I_ordinal
x_std,I_ordinal
y_std,I_ordinal
z_std,I_ordinal
x_absmean,I_ordinal
y_absmean,I_ordinal
z_absmean,I_ordinal
x_kurt,I_ordinal
y_kurt,I_ordinal
z_kurt,I_ordinal
x_skew,I_ordinal
y_skew,I_ordinal
z_skew,I_ordinal
x_waveindex,I_ordinal
y_waveindex,I_ordinal
z_waveindex,I_ordinal
x_pulseindex,I_ordinal
y_pulseindex,I_ordinal
z_pulseindex,I_ordinal
x_kurtindex,I_ordinal
y_kurtindex,I_ordinal
z_kurtindex,I_ordinal
x_peakindex,I_ordinal
y_peakindex,I_ordinal
z_peakindex,I_ordinal
x_sqra,I_ordinal
y_sqra,I_ordinal
z_sqra,I_ordinal
x_marginindex,I_ordinal
y_marginindex,I_ordinal
z_marginindex,I_ordinal
x_skewindex,I_ordinal
y_skewindex,I_ordinal
z_skewindex,I_ordinal
x_crest,I_ordinal
y_crest,I_ordinal
z_crest,I_ordinal
x_clearance,I_ordinal
y_clearance,I_ordinal
z_clearance,I_ordinal
x_slope,I_ordinal
y_slope,I_ordinal
z_slope,I_ordinal
x_shape,I_ordinal
y_shape,I_ordinal
z_shape,I_ordinal
x_impulse,I_ordinal
y_impulse,I_ordinal
z_impulse,I_ordinal
wconfid,I_ordinal
x_F_amp1,I_ordinal
x_F_amp1_f,I_ordinal
x_F_amp2,I_ordinal
x_F_amp2_f,I_ordinal
x_F_amp_mean,I_ordinal
x_F_amp_var,I_ordinal
x_F_amp_skew,I_ordinal
x_F_amp_kurt,I_ordinal
y_F_amp1,I_ordinal
y_F_amp1_f,I_ordinal
y_F_amp2,I_ordinal
y_F_amp2_f,I_ordinal
y_F_amp_mean,I_ordinal
y_F_amp_var,I_ordinal
y_F_amp_skew,I_ordinal
y_F_amp_kurt,I_ordinal
z_F_amp1,I_ordinal
z_F_amp1_f,I_ordinal
z_F_amp2,I_ordinal
z_F_amp2_f,I_ordinal
z_F_amp_mean,I_ordinal
z_F_amp_var,I_ordinal
z_F_amp_skew,I_ordinal
z_F_amp_kurt,I_ordinal
