Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
234780,9717965,69,14,single,rented,yes,Geologist,Deoghar,Jharkhand,12,13,0
231191,3711383,22,6,single,rented,yes,Magistrate,Ramagundam[27],Telangana,6,12,1
154618,3317412,55,13,single,rented,yes,Hotel_Manager,Kochi,Kerala,13,14,0
52416,9760650,79,16,married,rented,yes,Biomedical_Engineer,Giridih,Jharkhand,4,12,0
240978,7508513,79,9,single,rented,no,Computer_operator,Guna,Madhya_Pradesh,7,12,0
163388,9804751,59,3,single,rented,no,Financial_Analyst,Ballia,Uttar_Pradesh,3,11,0
99214,1336270,66,19,single,rented,no,Chemical_engineer,Bahraich,Uttar_Pradesh,8,12,0
40829,378524,62,11,single,rented,yes,Firefighter,Deoghar,Jharkhand,4,14,0
68791,757360,76,16,single,rented,no,Dentist,Hazaribagh,Jharkhand,7,10,0
68432,4641763,48,8,single,rented,yes,Architect,Bhatpara,West_Bengal,8,11,0
250319,2195446,51,2,single,rented,no,Economist,Hindupur,Andhra_Pradesh,2,11,0
247066,6486027,66,1,married,rented,no,Geologist,Mysore[7][8][9],Karnataka,1,10,0
209236,2607714,72,11,single,rented,no,Dentist,Ahmednagar,Maharashtra,11,14,0
112784,1766902,30,14,single,rented,no,Police_officer,Amritsar,Punjab,8,13,0
61044,3984731,28,1,single,rented,no,Web_designer,Ulhasnagar,Maharashtra,1,13,0
212876,1045513,40,2,single,norent_noown,no,Consultant,Hyderabad,Telangana,2,14,1
217946,9431626,31,6,single,rented,yes,Geologist,New_Delhi,Delhi,6,10,0
205998,2018913,68,7,single,rented,yes,Web_designer,Dewas,Madhya_Pradesh,7,13,1
235754,3889920,79,8,single,rented,no,Computer_hardware_engineer,Jamnagar,Gujarat,8,11,0
240332,5181446,22,13,married,rented,yes,Magistrate,Siwan[32],Bihar,10,11,0
59090,1871076,52,18,single,rented,no,Artist,Bettiah[33],Bihar,3,10,0
249306,6080966,44,5,single,rented,no,Statistician,Dehradun,Uttarakhand,4,14,0
154643,6755991,65,0,single,rented,no,Librarian,Anantapuram[24],Andhra_Pradesh,0,12,0
52567,235563,48,5,married,rented,no,Flight_attendant,Katihar,Bihar,5,11,1
117643,1192674,43,13,single,rented,no,Biomedical_Engineer,Howrah,West_Bengal,8,14,0
89853,9569607,51,13,single,rented,no,Engineer,Dehri[30],Bihar,12,13,0
74556,109949,25,1,single,rented,no,Chemical_engineer,Bhilwara,Rajasthan,1,12,0
11688,3546473,39,5,single,rented,yes,Petroleum_Engineer,Udaipur,Rajasthan,3,10,0
43686,3859838,62,13,single,rented,yes,Graphic_Designer,Baranagar,West_Bengal,7,13,0
224650,1822879,29,18,single,rented,yes,Surveyor,Ambala,Haryana,11,10,1
241668,4519987,74,3,single,rented,yes,Architect,Thrissur,Kerala,3,14,1
5886,220528,72,18,married,rented,no,Technology_specialist,Hapur,Uttar_Pradesh,4,12,0
140915,9976498,69,12,single,rented,no,Drafter,Guna,Madhya_Pradesh,12,10,0
177545,4388062,28,2,single,rented,no,Biomedical_Engineer,Dindigul,Tamil_Nadu,2,10,1
134663,8514369,21,5,single,rented,yes,Scientist,Udaipur,Rajasthan,4,13,0
107181,612456,54,16,single,rented,no,Financial_Analyst,Agartala,Tripura,9,11,0
76413,5272729,28,17,single,rented,no,Computer_operator,Guwahati,Assam,12,10,0
185428,853087,70,0,single,rented,yes,Firefighter,Bhagalpur,Bihar,0,10,0
148335,3264559,29,14,married,rented,no,Statistician,Bidhannagar,West_Bengal,4,10,1
77829,4708902,64,17,single,rented,no,Politician,Avadi,Tamil_Nadu,14,13,0
177016,5591112,50,16,single,rented,no,Magistrate,Salem,Tamil_Nadu,9,11,0
38395,8744579,34,3,married,rented,yes,Web_designer,Bikaner,Rajasthan,3,12,0
99030,6762902,43,10,single,rented,yes,Financial_Analyst,Kozhikode,Kerala,3,13,0
111954,3946313,45,9,single,rented,yes,Fashion_Designer,Kamarhati,West_Bengal,9,11,0
247663,1101214,26,1,single,rented,no,Technician,Nandyal,Andhra_Pradesh,1,14,0
229362,5113410,38,5,single,rented,yes,Fashion_Designer,Aurangabad,Maharashtra,5,11,0
181944,3495631,56,18,single,rented,no,Microbiologist,Malegaon,Maharashtra,3,13,0
87669,4754357,25,0,single,rented,no,Lawyer,Pondicherry,Puducherry,0,12,0
150673,4012026,72,8,single,rented,no,Industrial_Engineer,Thoothukudi,Tamil_Nadu,6,14,1
230063,9641153,64,1,single,rented,no,Graphic_Designer,Rajahmundry[19][20],Andhra_Pradesh,1,12,0
10972,5109740,39,6,single,rented,no,Flight_attendant,Kanpur,Uttar_Pradesh,6,14,1
222516,8645767,49,16,single,rented,no,Engineer,Bhiwani,Haryana,11,12,0
225281,1295195,26,4,single,rented,no,Comedian,Aurangabad,Maharashtra,4,11,0
125628,5844298,62,5,single,rented,no,Magistrate,Gulbarga,Karnataka,5,10,0
162082,5616245,76,20,single,rented,yes,Surveyor,Kadapa[23],Andhra_Pradesh,13,13,0
201709,8026612,38,13,single,rented,yes,Psychologist,Patna,Bihar,9,11,0
116508,6598959,38,14,single,rented,no,Politician,Jaipur,Rajasthan,11,11,0
125029,1207390,43,4,single,rented,no,Computer_operator,Coimbatore,Tamil_Nadu,3,14,0
74540,3054835,68,10,single,rented,no,Lawyer,Jaunpur,Uttar_Pradesh,3,14,0
174391,9249971,69,4,single,rented,no,Physician,Pali,Rajasthan,4,14,0
35439,9610065,23,17,single,rented,yes,Geologist,Maheshtala,West_Bengal,6,11,0
211206,1477651,50,15,single,rented,no,Surveyor,Dewas,Madhya_Pradesh,8,13,0
14503,1716587,37,0,single,rented,no,Economist,Chandigarh_city,Chandigarh,0,11,0
246899,4334573,46,2,single,rented,no,Graphic_Designer,Surendranagar_Dudhrej,Gujarat,2,14,0
76834,4295071,42,12,single,norent_noown,no,Chemical_engineer,Dhanbad,Jharkhand,5,10,0
8996,6997215,39,9,single,owned,no,Chemical_engineer,Secunderabad,Telangana,4,14,0
100060,3391314,27,1,single,owned,no,Geologist,Latur,Maharashtra,1,10,0
68358,2715204,62,18,single,rented,yes,Consultant,Nagpur,Maharashtra,9,12,0
247648,2281716,65,18,single,rented,no,Graphic_Designer,Nagaon,Assam,11,10,0
14316,1874022,44,15,single,rented,no,Mechanical_engineer,Thanjavur,Tamil_Nadu,7,14,0
30103,5187890,62,17,single,rented,no,Designer,Mehsana,Gujarat,8,10,0
178654,3643303,79,0,single,rented,no,Economist,Kishanganj[35],Bihar,0,12,0
30691,1199413,63,0,single,owned,no,Software_Developer,Hospet,Karnataka,0,14,0
55124,3732153,30,0,single,rented,no,Design_Engineer,Rajkot,Gujarat,0,11,0
159417,7454716,49,5,single,rented,yes,Graphic_Designer,Ajmer,Rajasthan,5,13,0
134835,8835486,55,0,single,rented,no,Economist,Bhusawal,Maharashtra,0,14,0
141931,9493039,55,16,single,rented,no,Graphic_Designer,Darbhanga,Bihar,13,11,0
101994,8365916,31,18,single,rented,yes,Lawyer,Chapra,Bihar,5,10,0
101831,5356355,34,6,single,rented,yes,Chartered_Accountant,Karnal,Haryana,6,13,0
48176,5911221,53,4,single,rented,no,Librarian,Mirzapur,Uttar_Pradesh,4,11,0
153789,3840944,68,14,single,rented,no,Dentist,Aligarh,Uttar_Pradesh,9,12,0
48299,8936935,36,0,single,rented,no,Surveyor,Jorhat,Assam,0,14,1
68259,2935149,66,2,single,rented,no,Firefighter,Imphal,Manipur,2,10,1
42087,109949,25,1,single,rented,no,Chemical_engineer,Bhilwara,Rajasthan,1,12,0
15473,3762111,61,13,single,rented,yes,Comedian,North_Dumdum,West_Bengal,6,13,0
23005,7363274,70,9,married,rented,no,Drafter,Shahjahanpur,Uttar_Pradesh,5,14,0
94397,2218088,35,9,single,rented,no,Lawyer,Phusro,Jharkhand,5,11,0
118510,4036960,79,16,single,rented,yes,Engineer,Panipat,Haryana,3,13,0
247613,3217881,76,15,single,rented,no,Comedian,Dharmavaram,Andhra_Pradesh,7,13,1
182439,3140216,22,9,single,rented,no,Financial_Analyst,Amroha,Uttar_Pradesh,6,10,0
148447,6184989,37,18,single,rented,no,Chef,Shivpuri,Madhya_Pradesh,5,10,0
156136,3259749,45,19,single,rented,no,Web_designer,Lucknow,Uttar_Pradesh,6,13,0
185111,3926552,21,4,single,owned,no,Design_Engineer,Nashik,Maharashtra,4,12,0
185714,9053211,70,10,single,rented,no,Technical_writer,Eluru[25],Andhra_Pradesh,8,13,0
87505,5792307,24,9,single,rented,yes,Magistrate,Chandigarh_city,Chandigarh,8,13,0
63056,6548997,46,11,single,rented,no,Technical_writer,Danapur,Bihar,4,14,1
147947,897935,75,7,single,rented,no,Dentist,Khammam,Telangana,7,10,0
23205,2152981,77,14,single,rented,yes,Technician,Bally,West_Bengal,11,10,0
8836,2935149,66,2,single,rented,no,Firefighter,Imphal,Manipur,2,10,1
157832,3315306,66,14,single,rented,yes,Police_officer,Chinsurah,West_Bengal,3,11,0
166062,6386403,31,10,single,rented,no,Designer,Nellore[14][15],Andhra_Pradesh,10,14,0
130601,1538951,73,9,single,rented,yes,Geologist,Panchkula,Haryana,9,10,0
214874,6735953,36,19,single,rented,no,Psychologist,Buxar[37],Bihar,12,10,0
99842,1514872,76,8,single,rented,yes,Engineer,Mango,Jharkhand,8,13,0
28237,7146402,23,20,single,rented,no,Mechanical_engineer,Imphal,Manipur,4,14,1
146000,4525338,23,1,single,rented,no,Graphic_Designer,Ongole,Andhra_Pradesh,1,12,0
217448,5198712,37,14,single,rented,no,Fashion_Designer,Orai,Uttar_Pradesh,12,14,0
179358,2557697,59,18,single,rented,no,Graphic_Designer,Ichalkaranji,Maharashtra,8,14,0
70540,7455976,69,5,single,rented,yes,Fashion_Designer,Madhyamgram,West_Bengal,5,13,0
8573,5495682,33,3,single,rented,no,Scientist,Tinsukia,Assam,3,12,0
70610,368667,48,2,married,rented,no,Computer_operator,Moradabad,Uttar_Pradesh,2,13,0
75205,4956449,21,9,single,rented,no,Industrial_Engineer,Bhilwara,Rajasthan,9,12,0
251596,2752690,79,2,married,rented,no,Secretary,Aizawl,Mizoram,2,14,0
127169,8149390,78,1,single,rented,no,Computer_hardware_engineer,Ratlam,Madhya_Pradesh,1,11,1
35314,9605093,25,7,single,rented,no,Librarian,Imphal,Manipur,7,12,0
96153,9292764,47,0,single,owned,no,Surgeon,Jhansi,Uttar_Pradesh,0,12,0
190850,1473816,68,10,single,rented,no,Chartered_Accountant,Nashik,Maharashtra,10,12,0
29835,7581400,28,9,single,rented,no,Official,Rajkot,Gujarat,9,12,0
97294,4065331,70,14,single,rented,no,Civil_engineer,Pune,Maharashtra,9,14,0
156403,7716359,70,0,single,rented,no,Statistician,Udaipur,Rajasthan,0,12,1
216946,3097848,22,11,single,owned,yes,Technician,Gandhidham,Gujarat,11,12,0
192744,1737580,39,0,married,rented,no,Flight_attendant,Jamshedpur,Jharkhand,0,13,0
165413,2939017,21,4,single,rented,no,Analyst,Amaravati,Andhra_Pradesh,4,12,0
127941,1549898,40,3,married,norent_noown,yes,Secretary,Guntur[13],Andhra_Pradesh,3,11,0
104884,8720778,74,13,single,rented,yes,Petroleum_Engineer,Sambalpur,Odisha,13,10,0
50822,7961712,41,10,single,rented,no,Official,Tinsukia,Assam,10,14,1
90125,9486727,70,16,single,rented,no,Mechanical_engineer,Bharatpur,Rajasthan,3,11,0
238116,6445117,69,12,single,rented,no,Drafter,Vasai-Virar,Maharashtra,4,14,0
133936,9744419,47,10,single,rented,yes,Fashion_Designer,Bharatpur,Rajasthan,10,13,0
216991,2345961,21,12,single,rented,no,Architect,Ahmedabad,Gujarat,11,14,1
4826,7770002,25,3,single,owned,yes,Technology_specialist,Ambala,Haryana,3,13,0
